0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,0.7071067812,1.0,1.0,1.0,1.0,1.0,1.0,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.2247448714,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,1.4142135624,
45,46,70,29,34,54,0,1,5,26,30,50,74,21,71,9,59,6,76,80,81,49,99,20,22,41,47,65,66,95,4,14,33,39,53,58,79,2,10,31,51,55,75,77,85,40,42,90,28,38,78,27,35,75,
46,47,71,1,2,6,25,27,30,31,50,51,22,70,72,5,7,55,77,81,82,21,23,42,45,48,66,67,95,96,34,54,59,0,3,10,11,32,35,52,56,75,76,78,86,41,43,91,29,39,79,28,36,76,
47,48,72,2,3,7,26,28,31,32,51,52,23,71,73,6,8,56,78,82,83,22,24,43,46,49,67,68,96,97,1,4,11,12,30,33,36,50,53,55,57,76,77,79,87,42,44,92,25,29,35,37,75,77,
48,49,73,3,4,8,27,29,32,33,52,53,24,72,74,7,9,57,79,83,84,23,44,47,68,69,97,98,20,45,2,12,13,31,34,37,51,54,56,58,77,0,78,88,75,43,93,40,26,36,38,76,78,25,
49,74,45,4,9,28,33,34,53,54,0,25,73,20,70,8,58,5,84,75,80,24,48,69,98,99,21,40,46,65,3,13,14,32,38,52,57,59,78,1,30,50,79,89,76,44,94,41,27,37,39,77,79,26,
34,39,59,5,6,10,25,26,31,35,50,55,14,54,64,1,11,51,81,85,86,46,70,71,9,19,29,38,44,58,63,79,84,0,2,7,15,27,36,56,60,75,80,82,90,45,47,95,33,43,83,32,40,80,
6,7,11,26,27,30,32,35,36,51,55,56,2,10,12,50,52,60,82,86,87,47,71,72,39,59,64,1,3,5,8,15,16,25,28,37,40,57,61,75,76,80,81,83,91,46,48,96,34,44,84,33,41,81,
7,8,12,27,28,31,33,36,37,52,56,57,3,11,13,51,53,61,83,87,88,48,72,73,2,4,6,9,16,17,26,29,35,38,41,55,58,60,62,76,77,81,82,84,92,47,49,97,30,34,40,42,80,82,
8,9,13,28,29,32,34,37,38,53,57,58,4,12,14,52,54,62,84,88,89,49,73,74,3,7,17,18,27,36,39,42,56,59,61,63,77,78,82,0,5,25,83,93,80,48,98,45,31,41,43,81,83,30,
9,14,29,33,38,39,54,58,59,5,25,30,13,53,63,0,10,50,89,80,85,74,45,70,4,8,18,19,28,37,43,57,62,64,78,79,83,1,6,26,35,55,84,94,81,49,99,46,32,42,44,82,84,31,
39,44,64,10,11,15,30,31,36,40,55,60,19,59,69,6,16,56,86,90,91,14,24,34,43,49,63,68,84,89,5,7,12,20,26,32,41,50,51,61,65,80,85,87,95,38,48,88,25,27,37,45,75,85,
11,12,16,31,32,35,37,40,41,56,60,61,7,15,17,55,57,65,87,91,92,44,64,69,6,8,10,13,20,21,27,30,33,42,45,51,52,62,66,80,81,85,86,88,96,39,49,89,26,28,38,46,76,86,
12,13,17,32,33,36,38,41,42,57,61,62,8,16,18,56,58,66,88,92,93,7,9,11,14,21,22,28,31,34,40,43,46,52,53,60,63,65,67,81,82,86,87,89,97,27,29,35,39,45,47,77,85,87,
